"","max_a","max_value","egg_size"
"1",10,1.24690227902314,0.67
"2",11,1.27449194695224,0.66
"3",12,1.2995694303571,0.65
"4",13,1.32301089535078,0.65
"5",14,1.3443772242702,0.64
"6",15,1.36442753942907,0.64
"7",16,1.38275041636863,0.63
"8",17,1.40025018794312,0.63
"9",18,1.41615417356292,0.63
"10",19,1.43142724476882,0.62
"11",20,1.44569531366088,0.62
"12",21,1.45873855935748,0.62
"13",22,1.47153074470511,0.61
"14",23,1.48357554972779,0.61
"15",24,1.49466221967456,0.61
"16",25,1.50499325045899,0.6
"17",26,1.51552930003291,0.6
"18",27,1.52529814430538,0.6
"19",28,1.53435552294989,0.6
"20",29,1.54275381569588,0.6
"21",30,1.55115552828767,0.59
"22",31,1.55948168600145,0.59
"23",32,1.56725976313734,0.59
"24",33,1.57452666266925,0.59
"25",34,1.58131706270964,0.59
"26",35,1.58766348249411,0.59
"27",36,1.59432589396298,0.58
"28",37,1.60092196032396,0.58
"29",38,1.60713176220126,0.58
"30",39,1.61297883831783,0.58
"31",40,1.61848538570258,0.58
"32",41,1.62367231062177,0.58
"33",42,1.62855928274435,0.58
"34",43,1.63316479125618,0.58
"35",44,1.63841116573027,0.57
"36",45,1.6434806935498,0.57
"37",46,1.64829114449074,0.57
"38",47,1.65285651179879,0.57
"39",48,1.65719005747559,0.57
"40",49,1.661304342042,0.57
"41",50,1.66521125460273,0.57
